id,user,likes,dislikes,followers
1,lmalletratt0,1767,2100,18054
2,skilmurray1,1029,1539,15886
3,vhowgego2,2316,2999,11330
4,mmcsporrin3,3021,1274,16681
5,htacker4,4671,1375,19642
6,bhutchence5,680,1790,11159
7,epetr6,3905,619,17025
8,pcucinotta7,4836,1409,14366
9,mlumly8,2802,2897,12162
10,mduerden9,1873,1901,10204
11,bdurstona,3594,851,19043
12,acalcottb,4761,3231,11432
13,hfenlonc,2921,2246,10935
14,phigbind,2060,1126,14200
15,dlabese,3848,1351,17970
16,gpettettf,3957,2682,15126
17,dgifkinsg,2761,1937,13616
18,rrosewarneh,3628,3211,11089
19,dmayoi,4181,2161,19074
20,dgannanj,1719,957,12676
21,emulqueenk,2215,2434,13767
22,amcgeel,4782,676,12558
23,zfurseym,2336,1254,10085
24,asummersiden,2132,573,10424
25,hdaykino,3663,3205,16028
26,pmingop,2543,1975,12056
27,jlysterq,1398,2229,11247
28,rkinghornr,3048,472,12324
29,gmerrgans,1804,1229,12402
30,kdalgarnot,3302,429,12286
31,mmaxweellu,4041,1521,17488
32,nthurlbeckv,4825,521,18651
33,scroalw,4691,759,11278
34,nlearnedx,4094,1123,16896
35,cmarshamy,921,1235,17848
36,flagez,3025,3010,11515
37,loates10,3160,1633,11048
38,ayea11,1081,1472,16290
39,jdeackes12,2510,3339,15185
40,rworsley13,3776,2466,19926
41,hdominetti14,1449,2563,16759
42,kitzakovitz15,2989,375,19756
43,tpfeffer16,3598,1689,11299
44,ojanu17,2417,562,15016
45,jdressell18,658,379,14205
46,aferneyhough19,2275,2907,11880
47,srowett1a,2339,2063,10720
48,ahodgins1b,858,3340,17141
49,mboycott1c,831,2517,12236
50,lbarribal1d,4379,2917,10163
51,jnorsworthy1e,2848,2285,11897
52,scawse1f,1367,3408,12058
53,jsaing1g,831,1456,11108
54,hnairns1h,3214,595,16034
55,ctabour1i,4576,2380,12037
56,mtithecott1j,3465,1788,15109
57,mchastaing1k,920,607,14645
58,kmeineken1l,3059,2084,11294
59,nkubicek1m,916,1097,11974
60,cburder1n,1939,2833,19993
61,szupo1o,543,921,11511
62,akemson1p,3810,2459,13904
63,cgossling1q,533,1473,11782
64,snoller1r,4532,1180,14671
65,cfriday1s,3071,3265,17612
66,eantusch1t,2061,3389,12131
67,chintzer1u,2937,1584,12463
68,svasin1v,1457,3060,15018
69,gletts1w,3089,3148,10018
70,jjosefsen1x,2181,2826,18451
71,tmckeaney1y,2655,2009,14416
72,mlorden1z,2852,1386,12393
73,cdmitrievski20,3783,2764,16147
74,bmarcus21,4372,2461,10510
75,agehringer22,3397,2502,14612
76,mgerriet23,2704,2349,16797
77,mlovatt24,603,2371,10063
78,pboyack25,4532,1200,10963
79,kklemencic26,1514,469,15946
80,mvossgen27,1554,1132,13926
81,lnorcliff28,3621,2700,12652
82,rphilp29,1371,1877,15179
83,wjeavon2a,4413,2491,16445
84,skingston2b,1770,1278,14604
85,fstollhofer2c,3389,2408,18554
86,choggin2d,3661,2146,11647
87,dkeilty2e,2167,1587,12640
88,lholbarrow2f,605,2516,11893
89,cgrimsdell2g,2613,3142,14274
90,malexis2h,822,1249,13204
91,wcluff2i,844,460,16076
92,udubock2j,3376,885,14609
93,dgoracci2k,3693,2609,14852
94,eearey2l,3340,3260,10693
95,tquartermaine2m,3745,3162,18306
96,lkabsch2n,1677,3446,14671
97,gmacsharry2o,615,607,12634
98,cdarkott2p,4960,1359,12345
99,apetrecz2q,4238,612,14013
100,bgreser2r,2155,519,12511
