id,user,likes,dislikes,followers
2,skilmurray1,550,2867,17241
4,mmcsporrin3,663,977,17878
12,acalcottb,2518,3479,19528
14,phigbind,737,1490,12786
18,rrosewarneh,2331,3337,11700
20,dgannanj,1229,1962,11823
24,asummersiden,846,3470,18137
25,hdaykino,1094,1365,19775
27,jlysterq,1116,1629,17524
33,scroalw,1160,1544,11044
36,flagez,866,2992,11104
37,loates10,2449,2624,19346
40,rworsley13,1994,3250,11418
52,scawse1f,1734,2974,19378
54,hnairns1h,1274,1416,11977
56,mtithecott1j,978,2825,17749
57,mchastaing1k,2108,3354,10396
60,cburder1n,1727,2154,15190
61,szupo1o,1418,3047,15592
64,snoller1r,2274,2486,17282
65,cfriday1s,788,1110,14666
68,svasin1v,679,1506,13552
70,jjosefsen1x,1179,3325,14219
71,tmckeaney1y,3355,3372,16084
74,bmarcus21,1590,3141,17027
80,mvossgen27,1900,2817,17369
84,skingston2b,1524,2862,15025
86,choggin2d,2575,3338,12262
96,lkabsch2n,838,1826,15898
98,cdarkott2p,1357,1904,14808
99,apetrecz2q,710,2317,11167
